time,delta,elbow_angle,elbow_velocity,elbow_torque
2.527,0.018,180.0,0.0,-2.2043642384652358E-17
2.543,0.016,180.0,0.0,-2.2043642384652358E-17
2.559,0.016,180.0,0.0,-2.2043642384652358E-17
2.575,0.016,180.0,0.0,-2.2043642384652358E-17
2.592,0.017,180.0,0.0,-2.2043642384652358E-17
2.608,0.016,180.0,0.0,-2.2043642384652358E-17
2.624,0.016,180.25,3.125,7.853956712543117E-4
2.641,0.017,180.0,0.18382352941176486,-2.2043642384652358E-17
2.657,0.016,180.0,0.18382352941176486,-2.2043642384652358E-17
2.673,0.016,180.0,0.18382352941176486,-2.2043642384652358E-17
2.69,0.017,180.0,0.18382352941176486,-2.2043642384652358E-17
2.706,0.016,180.0,-2.941176470588235,-2.2043642384652358E-17
2.722,0.016,180.0,0.0,-2.2043642384652358E-17
2.739,0.017,180.0,0.0,-2.2043642384652358E-17
2.755,0.016,180.0,0.0,-2.2043642384652358E-17
2.772,0.017,180.0,0.0,-2.2043642384652358E-17
2.788,0.016,180.0,0.0,-2.2043642384652358E-17
2.804,0.016,180.0,0.0,-2.2043642384652358E-17
2.821,0.017,180.0,0.0,-2.2043642384652358E-17
2.837,0.016,180.0,0.0,-2.2043642384652358E-17
2.853,0.016,180.0,0.0,-2.2043642384652358E-17
2.87,0.017,180.0,0.0,-2.2043642384652358E-17
2.886,0.016,180.0,0.0,-2.2043642384652358E-17
2.903,0.017,180.0,0.0,-2.2043642384652358E-17
2.919,0.016,180.0,0.0,-2.2043642384652358E-17
2.935,0.016,180.0,0.0,-2.2043642384652358E-17
2.952,0.017,180.0,0.0,-2.2043642384652358E-17
2.968,0.016,180.0,0.0,-2.2043642384652358E-17
2.985,0.017,180.0,0.0,-2.2043642384652358E-17
3.001,0.016,180.0,0.0,-2.2043642384652358E-17
3.017,0.016,180.0,0.0,-2.2043642384652358E-17
3.034,0.017,180.0,0.0,-2.2043642384652358E-17
3.05,0.016,180.0,0.0,-2.2043642384652358E-17
3.066,0.016,180.0,0.0,-2.2043642384652358E-17
